Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     R    439
     1       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     R    439
     2       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    440
     3      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    440
     4      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    440
     5      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    439
     6       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    439
     7       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    439
     8       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    439
     9      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    439
    10      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    439
    11      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    439
    12       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    439
    13      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    439
    14      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    439
    15      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    439
    16      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    439
    17       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    439
    18      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     W    439
    19       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    439
    20       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     R    438
    21      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     R    438
Running = 4
Waiting = 18
