Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    318
     1      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    318
     2      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     W    318
     3       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    318
     4       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    318
     5      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    318
     6      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    317
     7       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    318
     8      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     R    317
     9      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    318
    10       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     R    317
    11       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    318
    12       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    318
    13      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    318
    14       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    318
    15       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    318
    16      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    317
    17      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    317
    18      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    317
    19      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    317
    20      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    317
    21       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    317
Running = 3
Waiting = 19
