Replica  State  Lambda Lambda1 Lambda2 Alpha U0 W0coeff Temperature Status  Cycle 
     0      18   0.850  0.000  0.300  0.100 100.00   0.00 300.00     W    918
     1      11   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    918
     2      10   0.500  0.500  0.500  0.100  30.00   0.00 300.00     W    918
     3      15   0.700  0.100  0.500  0.100  70.00   0.00 300.00     W    918
     4      13   0.600  0.300  0.500  0.100  50.00   0.00 300.00     W    918
     5       7   0.350  0.200  0.500  0.100  60.00   0.00 300.00     W    918
     6       5   0.250  0.000  0.500  0.100  80.00   0.00 300.00     W    918
     7       9   0.450  0.400  0.500  0.100  40.00   0.00 300.00     W    918
     8       3   0.150  0.000  0.300  0.100 100.00   0.00 300.00     W    918
     9       4   0.200  0.000  0.400  0.100  90.00   0.00 300.00     W    918
    10      14   0.650  0.200  0.500  0.100  60.00   0.00 300.00     R    917
    11       1   0.050  0.000  0.100  0.100 120.00   0.00 300.00     W    918
    12      12   0.550  0.400  0.500  0.100  40.00   0.00 300.00     R    917
    13      17   0.800  0.000  0.400  0.100  90.00   0.00 300.00     W    918
    14       6   0.300  0.100  0.500  0.100  70.00   0.00 300.00     W    917
    15      21   1.000  0.000  0.000  0.100 130.00   0.00 300.00     W    917
    16       8   0.400  0.300  0.500  0.100  50.00   0.00 300.00     W    917
    17       0   0.000  0.000  0.000  0.100 130.00   0.00 300.00     W    917
    18       2   0.100  0.000  0.200  0.100 110.00   0.00 300.00     W    917
    19      16   0.750  0.000  0.500  0.100  80.00   0.00 300.00     W    917
    20      19   0.900  0.000  0.200  0.100 110.00   0.00 300.00     W    917
    21      20   0.950  0.000  0.100  0.100 120.00   0.00 300.00     W    917
Running = 2
Waiting = 20
